emp_no,first_name,last_name,title,birth_date,from_date,to_date,dept_name
277997,Ibibia,Poulakidas,Senior Staff,1962-07-15,1987-04-10,9999-01-01,Sales
278018,Zejun,Esposito,Engineer,1962-11-24,1986-04-25,9999-01-01,Production
278019,Maren,Conry,Senior Staff,1964-09-09,1985-02-17,9999-01-01,Customer Service
278036,Kristen,Narwekar,Senior Staff,1963-10-14,1985-05-02,9999-01-01,Finance
278074,Xinyu,Hutton,Senior Staff,1962-07-26,1987-06-17,9999-01-01,Customer Service
278102,Avishai,Angelopoulos,Engineer,1962-12-28,1988-12-19,9999-01-01,Production
278161,Constantino,Leaver,Engineer,1963-06-17,1987-12-29,9999-01-01,Development
278174,Vitali,Tanemo,Engineer,1962-01-15,1986-06-08,9999-01-01,Development
278176,Uwe,Iisaku,Engineer,1964-06-27,1988-12-07,9999-01-01,Production
278186,Golgen,Rabejac,Senior Engineer,1964-02-17,1986-01-04,9999-01-01,Quality Management
278207,Marit,Debuse,Senior Engineer,1962-05-28,1985-04-19,9999-01-01,Production
278218,Shaz,Baezner,Senior Engineer,1963-01-24,1986-01-26,9999-01-01,Production
278311,Tsz,Langford,Engineer,1963-06-07,1988-05-02,9999-01-01,Development
278378,Yongqiao,Bahl,Senior Staff,1963-12-23,1988-03-13,9999-01-01,Customer Service
278405,Saniya,Bellmore,Senior Staff,1962-03-04,1985-06-07,9999-01-01,Sales
278414,Genevieve,Ciolek,Engineer,1962-01-06,1985-06-18,9999-01-01,Production
278448,Jenwei,Pluym,Senior Staff,1963-06-05,1988-07-11,9999-01-01,Sales
278452,Sudhanshu,Toyoshima,Senior Staff,1965-01-07,1987-08-29,9999-01-01,Human Resources
278454,Lech,Bugrara,Senior Staff,1963-04-08,1988-08-21,9999-01-01,Sales
278461,Serenella,Capobianchi,Engineer,1962-03-06,1985-11-03,9999-01-01,Production
278498,Salvador,Luca,Senior Staff,1962-12-20,1985-10-14,9999-01-01,Marketing
278552,Maik,Emmerich,Senior Staff,1964-11-11,1988-09-04,9999-01-01,Customer Service
278581,Shakhar,Aamodt,Senior Staff,1964-05-06,1987-01-20,9999-01-01,Finance
278648,Moto,Christianini,Senior Engineer,1963-04-26,1986-05-03,9999-01-01,Production
278654,Arnould,Falby,Engineer,1962-01-24,1988-02-29,9999-01-01,Development
278698,Arne,Zockler,Assistant Engineer,1962-05-12,1988-11-15,9999-01-01,Production
278708,Aiman,Ossenbruggen,Assistant Engineer,1963-07-30,1986-02-10,9999-01-01,Development
278711,Souichi,Krider,Senior Staff,1963-08-17,1988-02-20,9999-01-01,Human Resources
278737,Aral,Hennebert,Senior Engineer,1962-01-31,1985-12-02,9999-01-01,Production
278746,Girolamo,Naumovich,Senior Staff,1962-05-04,1987-01-12,9999-01-01,Finance
278785,Bader,Dichev,Senior Staff,1962-02-08,1986-03-05,9999-01-01,Research
278787,Adil,Lamma,Senior Staff,1964-01-19,1986-04-29,9999-01-01,Human Resources
278818,Unal,Baja,Senior Staff,1962-12-08,1985-07-22,9999-01-01,Finance
278819,Marjo,Pardalos,Technique Leader,1964-04-09,1985-04-28,9999-01-01,Quality Management
278830,Oldrich,Colorni,Engineer,1963-05-30,1987-01-15,9999-01-01,Quality Management
278904,Branimir,Veeraraghavan,Engineer,1964-07-12,1985-08-19,9999-01-01,Production
278911,Vesna,Esteva,Engineer,1962-12-28,1988-05-13,9999-01-01,Production
278975,Qingxiang,Beidas,Technique Leader,1963-08-02,1987-10-07,9999-01-01,Production
278988,Visit,Aseltine,Engineer,1962-07-11,1985-11-14,9999-01-01,Production
279012,Alexius,Kampfer,Senior Staff,1962-02-12,1986-09-21,9999-01-01,Customer Service
279041,JiYoung,Delaune,Engineer,1962-05-06,1986-09-04,9999-01-01,Development
279054,Elvis,Rubsam,Senior Staff,1964-07-12,1986-09-05,9999-01-01,Marketing
279056,Sakthirel,Rusterholz,Senior Staff,1963-04-07,1986-11-11,9999-01-01,Research
279080,Aria,Piancastelli,Engineer,1964-07-03,1987-07-05,9999-01-01,Development
279083,Kerhong,Linnainmaa,Senior Staff,1964-07-18,1985-08-26,9999-01-01,Marketing
279129,Rosalyn,Landherr,Senior Staff,1964-02-01,1985-02-07,9999-01-01,Research
279142,Giordano,Georgakopoulos,Senior Staff,1962-09-07,1988-09-25,9999-01-01,Sales
279166,Candida,Taneja,Senior Engineer,1962-07-15,1988-10-18,9999-01-01,Development
279212,Alagu,Auyong,Senior Staff,1964-10-17,1986-09-04,9999-01-01,Sales
279215,Miyeon,Radivojevic,Engineer,1963-05-07,1987-08-12,9999-01-01,Development
279291,Khedija,Raczkowsky,Engineer,1964-11-25,1985-08-16,9999-01-01,Development
279310,Mohammad,Tzvieli,Technique Leader,1963-02-17,1987-05-17,9999-01-01,Quality Management
279333,Nadjib,Ramaiah,Senior Staff,1963-03-05,1987-07-20,9999-01-01,Production
279350,Alain,Hofstetter,Engineer,1963-02-09,1985-07-14,9999-01-01,Production
279355,Houman,Guerreiro,Senior Staff,1962-07-24,1986-05-23,9999-01-01,Sales
279366,Parto,Jiang,Assistant Engineer,1962-05-02,1987-11-18,9999-01-01,Development
279405,Edwin,Wilfing,Senior Staff,1962-02-10,1987-08-30,9999-01-01,Sales
279416,Tadahiro,Dahlbom,Engineer,1963-02-09,1988-12-28,9999-01-01,Production
279445,Muneo,Stemann,Senior Staff,1963-11-12,1988-10-29,9999-01-01,Research
279470,Adly,Luby,Senior Engineer,1964-04-05,1985-04-08,9999-01-01,Production
279472,Spyrose,Iivonen,Engineer,1964-11-30,1988-05-28,9999-01-01,Development
279536,Vugranam,Bennis,Senior Staff,1964-01-08,1986-06-08,9999-01-01,Research
279588,Ymte,Cromarty,Senior Engineer,1964-03-01,1987-04-22,9999-01-01,Production
279609,Denis,Monkewich,Senior Staff,1962-06-11,1985-08-24,9999-01-01,Sales
279612,Florina,Velasco,Engineer,1964-12-20,1985-02-27,9999-01-01,Development
279665,Munehiro,Unno,Senior Staff,1964-07-01,1986-11-04,9999-01-01,Finance
279666,Stepehn,Luca,Engineer,1964-02-11,1986-10-09,9999-01-01,Production
279679,Sachem,Kobara,Engineer,1962-11-23,1985-10-03,9999-01-01,Development
279680,Dipayan,Iisaku,Engineer,1963-10-05,1985-07-24,9999-01-01,Quality Management
279697,Shahar,Rajcani,Senior Staff,1964-02-14,1988-08-01,9999-01-01,Sales
279714,Poorav,Rothenberg,Engineer,1964-04-19,1987-02-22,9999-01-01,Development
279766,Emran,Ellozy,Engineer,1962-06-04,1988-07-07,9999-01-01,Development
279769,Sashi,Ishibashi,Engineer,1963-11-26,1985-04-06,9999-01-01,Development
279789,Shawna,Pauthner,Engineer,1963-12-04,1987-09-08,9999-01-01,Production
279791,Chiranjit,Lyonns,Assistant Engineer,1965-01-10,1986-12-24,9999-01-01,Development
279864,Bernice,Yurov,Engineer,1963-09-28,1985-10-25,9999-01-01,Quality Management
279895,JoAnne,Naudin,Engineer,1964-06-04,1985-02-03,9999-01-01,Production
279907,Macha,Kusakari,Senior Staff,1964-02-05,1986-10-09,9999-01-01,Customer Service
279914,Harngdar,Meriste,Engineer,1963-10-09,1988-04-18,9999-01-01,Development
279942,Shih,Valiente,Senior Staff,1962-11-17,1988-06-27,9999-01-01,Sales
279948,Candida,Greibach,Engineer,1964-10-07,1988-07-03,9999-01-01,Development
279960,Rimli,Verhaegen,Senior Staff,1962-11-29,1988-07-11,9999-01-01,Sales
280016,Gritta,Lueh,Assistant Engineer,1964-01-01,1987-12-03,9999-01-01,Production
280023,Guenter,Pelz,Senior Staff,1962-11-15,1988-08-05,9999-01-01,Human Resources
280026,Shuzo,Pargas,Senior Engineer,1964-07-30,1985-10-31,9999-01-01,Development
280037,Nechama,Bultermann,Senior Engineer,1964-11-20,1987-06-21,9999-01-01,Development
280070,Niteen,Ebeling,Senior Staff,1965-01-24,1988-03-29,9999-01-01,Human Resources
280111,Prasadram,Ruther,Senior Engineer,1964-02-18,1987-11-10,9999-01-01,Development
280115,Subhankar,Simmel,Senior Staff,1962-08-06,1986-03-23,9999-01-01,Customer Service
280172,Ipke,Garigliano,Engineer,1963-09-25,1985-02-27,9999-01-01,Development
280226,Nevin,Puppe,Senior Staff,1962-10-08,1985-03-30,9999-01-01,Research
280239,Aleksandar,Armand,Technique Leader,1964-01-24,1986-08-09,9999-01-01,Production
280273,Marco,Iivonen,Assistant Engineer,1963-09-25,1987-05-14,9999-01-01,Development
280300,Remmert,McClurg,Senior Staff,1963-11-06,1987-09-13,9999-01-01,Sales
280310,Hsiangchu,Osgood,Senior Staff,1962-11-04,1988-02-02,9999-01-01,Marketing
280317,Mats,Peng,Senior Staff,1964-12-11,1988-10-31,9999-01-01,Sales
280327,Xiping,Roisin,Senior Staff,1962-12-26,1987-02-24,9999-01-01,Sales
280382,Aleksandar,Parascandalo,Engineer,1964-03-25,1986-09-20,9999-01-01,Development
280384,Idoia,Waschkowski,Senior Staff,1962-09-21,1986-02-02,9999-01-01,Human Resources
280403,Bluma,Avouris,Senior Staff,1962-08-12,1987-05-14,9999-01-01,Marketing
280406,Georgi,Perng,Senior Staff,1962-06-30,1987-09-27,9999-01-01,Sales
280420,Jahangir,Hofting,Senior Staff,1965-01-31,1986-09-28,9999-01-01,Sales
280422,Erzsebet,Linares,Senior Staff,1962-09-09,1985-04-23,9999-01-01,Human Resources
280429,Hyuncheol,Yurek,Senior Staff,1962-03-17,1987-02-09,9999-01-01,Human Resources
280438,Jaana,Andreotta,Engineer,1963-05-15,1987-07-24,9999-01-01,Production
280439,Radoslaw,Gyimothy,Engineer,1962-02-23,1985-03-13,9999-01-01,Development
280445,Adamantios,Driscoll,Assistant Engineer,1964-02-24,1986-06-15,9999-01-01,Production
280466,Satosi,Navazio,Senior Staff,1964-01-11,1986-10-27,9999-01-01,Marketing
280469,Kauko,Nations,Technique Leader,1964-11-01,1986-11-30,9999-01-01,Production
280479,Zongyan,Czaja,Engineer,1964-11-22,1986-02-24,9999-01-01,Production
280485,Hugh,Boyle,Engineer,1962-10-23,1986-10-10,9999-01-01,Production
280546,Alain,Murthy,Engineer,1964-09-15,1987-12-31,9999-01-01,Production
280548,Yakkov,Comellas,Senior Staff,1962-08-12,1987-01-02,9999-01-01,Customer Service
280617,Yechiam,Sewelson,Senior Staff,1964-07-04,1988-12-31,9999-01-01,Sales
280630,Aram,Sluis,Engineer,1964-03-11,1986-04-30,9999-01-01,Production
280648,Heeju,Lorys,Engineer,1965-01-04,1986-12-27,9999-01-01,Production
280666,Masamitsu,Reeken,Senior Staff,1962-02-03,1986-04-03,9999-01-01,Customer Service
280696,Danae,Pavlopoulou,Senior Engineer,1962-10-12,1985-11-01,9999-01-01,Production
280698,Aimee,Provine,Assistant Engineer,1963-03-01,1986-02-19,9999-01-01,Development
280702,Inderjeet,Nicolson,Engineer,1963-10-12,1988-10-31,9999-01-01,Production
280716,Maia,Cmelik,Senior Staff,1964-03-09,1988-11-23,9999-01-01,Finance
280757,Kazunori,Schmiedel,Senior Staff,1963-04-18,1986-10-28,9999-01-01,Research
280761,Shen,Binding,Senior Staff,1964-12-18,1985-11-02,9999-01-01,Human Resources
280769,Juichirou,Schreiter,Senior Staff,1962-09-30,1987-05-12,9999-01-01,Sales
280779,Trygve,Edelhoff,Engineer,1963-01-31,1987-09-05,9999-01-01,Quality Management
280811,Mohammad,Gire,Senior Engineer,1962-12-23,1988-12-24,9999-01-01,Production
280824,Minghong,Zhang,Engineer,1963-11-11,1986-04-11,9999-01-01,Development
280850,Boguslaw,Sgarro,Engineer,1964-08-25,1988-04-08,9999-01-01,Development
280872,Martine,Hambrick,Senior Staff,1962-01-12,1987-04-04,9999-01-01,Finance
280898,Oguz,Ratzlaff,Senior Staff,1962-12-25,1988-11-22,9999-01-01,Sales
280899,Yuichiro,Bratten,Senior Staff,1964-09-14,1987-10-27,9999-01-01,Sales
280928,Yunming,Lenart,Assistant Engineer,1964-12-26,1986-02-17,9999-01-01,Development
280958,Tonny,Turnbull,Senior Staff,1962-07-31,1985-05-27,9999-01-01,Sales
280970,Sashi,Katzenelson,Senior Staff,1964-11-27,1985-12-31,9999-01-01,Marketing
280980,Sariel,Suomi,Senior Staff,1963-07-04,1987-05-12,9999-01-01,Sales
280989,Uta,Peltason,Engineer,1962-04-14,1986-03-28,9999-01-01,Development
281010,Isamu,Kobara,Assistant Engineer,1963-03-07,1988-05-20,9999-01-01,Development
281014,Jacopo,Erdmenger,Senior Staff,1963-05-21,1986-09-20,9999-01-01,Sales
281030,Lobel,Dayana,Engineer,1963-02-07,1988-08-29,9999-01-01,Quality Management
281054,Haldun,Perfilyeva,Engineer,1964-11-02,1987-09-23,9999-01-01,Development
281097,Ibibia,Beznosov,Assistant Engineer,1964-08-20,1986-05-02,9999-01-01,Production
281108,Moto,Kaltofen,Engineer,1962-01-31,1986-10-03,9999-01-01,Production
281174,Paris,Loncour,Senior Staff,1963-04-21,1985-03-31,9999-01-01,Sales
281176,Yuuichi,Botman,Senior Staff,1964-11-11,1988-09-17,9999-01-01,Sales
281191,Rosella,Mamelak,Senior Staff,1962-08-11,1988-11-17,9999-01-01,Customer Service
281203,Bader,Marchesini,Engineer,1963-02-20,1985-10-07,9999-01-01,Production
281208,Szabolcs,Murthy,Engineer,1963-05-24,1987-09-02,9999-01-01,Production
281219,Masako,Leppanen,Senior Engineer,1962-05-02,1987-11-28,9999-01-01,Development
281227,Basil,Rullman,Senior Staff,1963-10-04,1988-05-01,9999-01-01,Research
281237,Anyuan,Akazan,Engineer,1964-12-20,1988-10-13,9999-01-01,Development
281309,Junichi,Piazza,Senior Staff,1964-09-29,1986-04-03,9999-01-01,Human Resources
281339,Sorina,Babu,Senior Staff,1964-02-18,1987-07-06,9999-01-01,Sales
281390,Soenke,Thisen,Engineer,1962-06-26,1986-10-25,9999-01-01,Quality Management
281435,Subhada,Junot,Senior Staff,1964-02-13,1986-03-16,9999-01-01,Sales
281468,Sachar,Furedi,Senior Staff,1963-01-13,1987-04-11,9999-01-01,Sales
281479,Eckart,Kampfer,Senior Staff,1964-05-22,1987-05-29,9999-01-01,Finance
281486,Alair,Setia,Engineer,1963-09-28,1988-11-14,9999-01-01,Development
281523,Fumino,Serra,Senior Staff,1962-05-03,1988-01-02,9999-01-01,Research
281531,Basim,Setia,Senior Engineer,1962-01-15,1988-09-08,9999-01-01,Development
281544,Adit,Schieder,Senior Staff,1962-09-28,1988-04-19,9999-01-01,Marketing
281566,Heping,Ernst,Engineer,1962-11-05,1986-01-19,9999-01-01,Quality Management
281572,Shigenori,Roison,Engineer,1964-03-18,1986-09-11,9999-01-01,Production
281580,Sanjeeva,Panienski,Senior Staff,1964-10-30,1986-09-16,9999-01-01,Finance
281583,Shaowei,Mersereau,Engineer,1964-09-28,1985-09-02,9999-01-01,Development
281619,Narain,Senzako,Engineer,1962-09-07,1988-07-27,9999-01-01,Development
281632,Sudharsan,Lamba,Engineer,1964-10-10,1988-04-10,9999-01-01,Development
281646,Padma,Marrakchi,Engineer,1963-09-10,1988-11-01,9999-01-01,Production
281678,Doohun,Junet,Senior Staff,1963-11-09,1987-12-12,9999-01-01,Sales
281684,Moni,Peroz,Engineer,1964-12-08,1987-08-26,9999-01-01,Development
281685,Barun,Hitomi,Senior Staff,1964-06-18,1988-04-05,9999-01-01,Marketing
281688,Terresa,Waymire,Senior Staff,1963-11-17,1986-03-04,9999-01-01,Human Resources
281719,Inderjeet,Koblitz,Senior Staff,1964-07-16,1988-07-31,9999-01-01,Research
281744,Otilia,Nitsch,Technique Leader,1962-12-04,1985-07-01,9999-01-01,Production
281759,Maren,Dehkordi,Engineer,1963-11-05,1988-08-30,9999-01-01,Development
281783,Remco,Pauthner,Senior Staff,1963-09-25,1985-08-16,9999-01-01,Marketing
281828,Shai,Puppe,Senior Staff,1963-01-16,1988-06-04,9999-01-01,Research
281836,Gaetan,Iisaka,Senior Staff,1962-11-23,1986-03-13,9999-01-01,Finance
281837,Werner,Kavanagh,Engineer,1964-07-16,1987-04-12,9999-01-01,Production
281859,Masanao,Papastamatiou,Engineer,1965-01-17,1985-11-25,9999-01-01,Production
281885,Odinaldo,Capobianchi,Engineer,1963-09-08,1988-07-09,9999-01-01,Development
281918,Frazer,Riexinger,Senior Staff,1962-11-14,1986-11-14,9999-01-01,Finance
281948,Vidya,Woycyznski,Engineer,1962-11-14,1987-05-16,9999-01-01,Production
282015,Lene,Cincotta,Senior Staff,1964-10-02,1985-02-25,9999-01-01,Research
282021,Khoa,Beilner,Engineer,1962-10-18,1988-10-30,9999-01-01,Production
282037,Wojceich,Poulakidas,Senior Staff,1962-05-24,1987-11-21,9999-01-01,Sales
282049,Zhonghui,Bresenham,Engineer,1962-01-05,1988-06-18,9999-01-01,Development
282094,Alselm,Munke,Engineer,1964-01-25,1986-03-18,9999-01-01,Production
282122,Kazuyasu,Setlzner,Engineer,1964-04-26,1985-09-23,9999-01-01,Production
282125,Behnaam,Nitsche,Technique Leader,1964-06-02,1988-09-15,9999-01-01,Production
282138,Qingxiang,Dratva,Senior Staff,1963-04-02,1986-12-13,9999-01-01,Human Resources
282139,Bowen,Murillo,Engineer,1963-05-27,1986-08-13,9999-01-01,Production
282172,Bezalel,Lalonde,Engineer,1962-03-18,1985-07-27,9999-01-01,Development
282184,Jaewon,Cairo,Engineer,1964-01-29,1988-12-14,9999-01-01,Development
282213,Sanjiv,Boissier,Senior Staff,1963-11-22,1986-10-13,9999-01-01,Marketing
282339,Shahaf,Lung,Senior Staff,1962-06-07,1987-10-09,9999-01-01,Sales
282340,Rosita,Bodoff,Senior Staff,1962-07-03,1988-02-14,9999-01-01,Marketing
282343,Xinglin,Haldar,Senior Staff,1965-01-13,1988-07-20,9999-01-01,Sales
282370,Cedric,Rossi,Senior Staff,1964-05-29,1987-06-06,9999-01-01,Sales
282375,Shmuel,Kropp,Engineer,1962-05-05,1985-07-18,9999-01-01,Development
282378,Udo,Matzat,Senior Staff,1963-12-17,1987-01-22,9999-01-01,Customer Service
282381,Kazuhisa,Silva,Engineer,1964-05-28,1985-04-21,9999-01-01,Development
282425,Tua,Bonifati,Senior Staff,1963-02-10,1987-07-19,9999-01-01,Sales
282445,Baziley,Zolotykh,Senior Staff,1964-08-28,1986-08-09,9999-01-01,Customer Service
282481,Khalid,Schlenzig,Assistant Engineer,1964-06-02,1986-01-12,9999-01-01,Production
282489,Hidefumi,Emden,Senior Engineer,1962-10-05,1985-04-22,9999-01-01,Development
282509,Danae,Griswold,Senior Staff,1963-08-01,1988-07-03,9999-01-01,Sales
282512,Peer,Ramsey,Engineer,1962-01-11,1986-07-23,9999-01-01,Production
282521,Morris,Asrin,Senior Staff,1962-06-07,1985-10-13,9999-01-01,Finance
282545,Yuriy,Pearson,Engineer,1962-12-23,1988-09-16,9999-01-01,Quality Management
282561,Sanjai,Ferriere,Senior Staff,1964-08-17,1986-06-11,9999-01-01,Sales
282570,Barton,Juneja,Engineer,1962-02-18,1988-05-13,9999-01-01,Development
282642,Xiadong,Stasinski,Senior Staff,1963-11-17,1988-05-02,9999-01-01,Sales
282650,Chirstian,Luft,Engineer,1964-09-02,1986-10-13,9999-01-01,Production
282671,Jaroslava,Swan,Engineer,1962-10-21,1986-05-11,9999-01-01,Production
282709,Chriss,Vidya,Senior Staff,1962-07-20,1988-08-18,9999-01-01,Marketing
282766,Mokhtar,Perfilyeva,Senior Staff,1964-07-02,1985-11-23,9999-01-01,Marketing
282772,Taiji,Roisin,Senior Staff,1964-09-21,1986-08-02,9999-01-01,Marketing
282775,Serenella,Walstra,Engineer,1962-11-28,1987-01-14,9999-01-01,Quality Management
282779,Shaz,Kirkerud,Engineer,1964-07-11,1986-05-22,9999-01-01,Development
282805,Feiyu,Jarecki,Senior Staff,1962-10-22,1987-10-05,9999-01-01,Marketing
282819,Bernt,Erie,Senior Staff,1964-12-21,1987-06-05,9999-01-01,Sales
282840,Bedir,Scallan,Senior Staff,1962-01-02,1988-06-16,9999-01-01,Sales
282850,Huan,Minakawa,Senior Staff,1963-06-17,1986-02-27,9999-01-01,Sales
282864,Baziley,Monarch,Senior Staff,1962-12-05,1986-12-04,9999-01-01,Sales
282867,Kellie,Zykh,Senior Engineer,1963-01-17,1988-05-13,9999-01-01,Production
282885,Subhada,Plump,Engineer,1964-06-08,1988-12-07,9999-01-01,Production
282934,Fen,Bardell,Senior Staff,1964-09-26,1988-02-03,9999-01-01,Marketing
282941,Yishay,Eldridge,Engineer,1962-04-25,1987-03-04,9999-01-01,Development
283030,Moto,Ruemmler,Engineer,1964-04-27,1986-01-10,9999-01-01,Development
283035,Tetsushi,Ranon,Engineer,1962-03-27,1985-07-03,9999-01-01,Development
283087,Soenke,Cools,Senior Staff,1962-02-01,1986-08-07,9999-01-01,Finance
283103,Duke,Marrevee,Senior Staff,1964-10-09,1985-11-06,9999-01-01,Human Resources
283137,Mats,Candan,Senior Engineer,1964-10-05,1985-08-17,9999-01-01,Development
283140,Gay,Ponthieu,Engineer,1964-05-13,1986-03-01,9999-01-01,Development
283157,Arumugam,Shinomoto,Engineer,1962-03-09,1988-02-09,9999-01-01,Quality Management
283159,Selwyn,Bach,Senior Staff,1963-09-13,1986-03-22,9999-01-01,Sales
283167,Khalil,Rubsam,Senior Engineer,1962-11-28,1986-01-31,9999-01-01,Quality Management
283235,Toney,Birdsall,Assistant Engineer,1962-05-23,1986-02-24,9999-01-01,Production
283280,Aamer,Bahl,Senior Staff,1962-10-21,1988-07-25,9999-01-01,Human Resources
283372,Pradeep,Fasbender,Senior Staff,1963-09-06,1987-05-24,9999-01-01,Human Resources
283390,Nikolaos,Cronin,Senior Engineer,1964-05-30,1988-07-19,9999-01-01,Development
283397,Mostafa,Kalefeld,Senior Staff,1962-09-21,1986-12-11,9999-01-01,Customer Service
283444,Eran,Terekhov,Engineer,1963-12-23,1987-12-01,9999-01-01,Development
283446,Bedir,Basawa,Senior Staff,1963-08-23,1988-10-31,9999-01-01,Customer Service
283466,Gererd,Shihab,Engineer,1964-03-28,1987-07-30,9999-01-01,Development
283517,Katsuyuki,Cincotta,Assistant Engineer,1964-08-09,1988-03-26,9999-01-01,Development
283540,Parto,Tramer,Senior Staff,1963-07-27,1985-11-26,9999-01-01,Customer Service
283575,Mahmut,Boudaillier,Engineer,1962-03-01,1988-10-27,9999-01-01,Development
283615,Petter,Isaak,Senior Staff,1963-08-20,1988-08-16,9999-01-01,Sales
283632,Pascal,Bade,Engineer,1964-01-18,1986-02-18,9999-01-01,Production
283692,Aamer,Burnard,Senior Staff,1962-02-07,1985-10-17,9999-01-01,Research
283731,Otilia,Rissanen,Senior Engineer,1962-01-15,1986-05-31,9999-01-01,Development
283747,Mahmut,Back,Engineer,1964-07-03,1985-05-20,9999-01-01,Production
283772,Zorica,Slutz,Senior Staff,1964-10-06,1986-08-06,9999-01-01,Customer Service
283782,Zeydy,Petereit,Engineer,1963-02-14,1987-01-04,9999-01-01,Development
283795,Shahab,Segond,Senior Staff,1962-10-12,1985-09-05,9999-01-01,Marketing
283803,Jiong,Hooghiemstra,Engineer,1964-10-06,1988-07-04,9999-01-01,Development
283866,Basant,Gire,Engineer,1963-06-18,1985-09-03,9999-01-01,Development
283868,Arie,Heiserman,Engineer,1963-04-11,1986-11-12,9999-01-01,Production
283892,Gennadi,Hammerschmidt,Senior Staff,1962-07-08,1985-08-02,9999-01-01,Customer Service
283998,Heejo,Birdsall,Engineer,1962-12-06,1988-11-20,9999-01-01,Development
284006,Hironobu,Munro,Engineer,1962-07-24,1987-05-17,9999-01-01,Development
284009,Alain,Dratva,Senior Staff,1964-07-20,1986-04-23,9999-01-01,Sales
284011,Mona,Kaiser,Senior Staff,1963-04-07,1987-03-12,9999-01-01,Sales
284027,Aamer,Soloway,Engineer,1963-05-21,1988-12-28,9999-01-01,Development
284078,Munehiko,Whittlesey,Senior Staff,1963-08-24,1985-06-08,9999-01-01,Finance
284098,Elrique,Pargas,Senior Staff,1963-09-26,1985-05-25,9999-01-01,Sales
284110,Randi,Anido,Engineer,1962-08-31,1985-04-14,9999-01-01,Production
284112,Geoffry,Zockler,Engineer,1962-02-11,1988-12-06,9999-01-01,Development
284123,Mariangiola,Zaiane,Engineer,1962-03-26,1988-05-23,9999-01-01,Production
284134,Miquel,Picci,Engineer,1963-12-10,1987-06-12,9999-01-01,Production
284166,Freyja,Ramsay,Senior Engineer,1964-01-12,1988-02-09,9999-01-01,Development
284190,Wayne,Jullig,Senior Staff,1962-02-28,1985-11-13,9999-01-01,Research
284381,Moni,Hambrick,Engineer,1962-11-02,1987-08-05,9999-01-01,Production
284410,Fumitake,Motley,Senior Staff,1963-01-19,1987-01-02,9999-01-01,Marketing
284424,Olivera,Zykh,Senior Engineer,1962-09-22,1986-03-02,9999-01-01,Production
284450,Vatsa,Krybus,Senior Staff,1964-10-20,1988-09-12,9999-01-01,Sales
284477,Eirik,Azuma,Engineer,1962-01-01,1987-10-06,9999-01-01,Development
284500,Margareta,Condotta,Engineer,1963-02-09,1987-05-09,9999-01-01,Development
284521,Mansur,Crelier,Engineer,1964-08-21,1987-04-14,9999-01-01,Production
284555,Maris,Bazelow,Technique Leader,1964-12-11,1986-11-14,9999-01-01,Production
284561,Duri,Beznosov,Senior Engineer,1965-01-03,1988-02-15,9999-01-01,Quality Management
284615,Djelloul,Hinsberger,Senior Staff,1963-08-28,1985-03-18,9999-01-01,Human Resources
284623,Dines,Honiden,Engineer,1962-04-13,1987-10-17,9999-01-01,Development
284636,Arco,Antonakopoulos,Engineer,1963-09-21,1987-07-08,9999-01-01,Production
284649,Raimond,Kobara,Senior Staff,1962-03-08,1988-08-08,9999-01-01,Sales
284675,Yongdong,Pews,Senior Engineer,1963-11-13,1986-08-11,9999-01-01,Development
284685,Stella,Wallrath,Engineer,1962-04-17,1986-06-23,9999-01-01,Production
284687,Oksana,Redmiles,Engineer,1965-01-15,1985-06-22,9999-01-01,Development
284691,Theron,Ressouche,Engineer,1965-01-04,1988-08-17,9999-01-01,Development
284711,Martijn,Azevdeo,Senior Engineer,1965-01-21,1988-02-10,9999-01-01,Development
284743,Tremaine,Steenbeek,Engineer,1964-03-22,1986-01-27,9999-01-01,Development
284790,Bojan,Vieri,Assistant Engineer,1962-04-23,1987-10-04,9999-01-01,Development
284810,Nikolaus,Edelhoff,Senior Staff,1963-06-18,1985-04-15,9999-01-01,Finance
284816,Kauko,Luders,Assistant Engineer,1962-07-06,1986-07-02,9999-01-01,Development
284831,Goncalo,Bolsens,Engineer,1963-12-10,1985-12-31,9999-01-01,Quality Management
284922,Shaunak,Eugenio,Engineer,1963-11-13,1988-06-15,9999-01-01,Production
284944,Bodh,Lenart,Engineer,1962-09-04,1987-10-27,9999-01-01,Production
284960,Gadiel,Sankaranarayanan,Senior Staff,1962-04-02,1987-10-18,9999-01-01,Human Resources
285000,Licheng,Siegrist,Engineer,1963-12-12,1987-09-16,9999-01-01,Development
285009,Yakkov,Angelov,Senior Staff,1964-01-29,1986-06-30,9999-01-01,Human Resources
285010,Berni,Peternell,Engineer,1964-01-07,1986-09-05,9999-01-01,Development
285011,Lillian,Narahari,Engineer,1964-08-16,1985-06-28,9999-01-01,Development
285045,Bouchung,Schrift,Senior Staff,1963-03-11,1985-09-13,9999-01-01,Sales
285107,Itzchak,Janocha,Senior Staff,1962-09-25,1987-08-20,9999-01-01,Customer Service
285116,Mohamadou,Mondadori,Senior Engineer,1964-08-01,1987-06-14,9999-01-01,Production
285131,Krassimir,Encarnacion,Senior Staff,1964-07-31,1985-04-29,9999-01-01,Marketing
285156,Otilia,Ruemmler,Senior Staff,1962-07-03,1988-05-26,9999-01-01,Sales
285168,Randi,Saoudi,Engineer,1964-01-06,1988-07-01,9999-01-01,Production
